"","Suburb","Rooms","Type","Method","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"2","Abbotsford",2,"h","S",2016-12-03,2.5,"3067",2,1,1,202,87,1995,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan",4019,1480000
"3","Abbotsford",2,"h","S",2016-02-04,2.5,"3067",2,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan",4019,1035000
"5","Abbotsford",3,"h","SP",2017-03-04,2.5,"3067",3,2,0,134,150,1900,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan",4019,1465000
"6","Abbotsford",3,"h","PI",2017-03-04,2.5,"3067",3,2,1,94,112,1900,"Yarra City Council",-37.7969,144.9969,"Northern Metropolitan",4019,850000
"7","Abbotsford",4,"h","VB",2016-06-04,2.5,"3067",3,1,2,120,142,2014,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan",4019,1600000
"11","Abbotsford",2,"h","S",2016-05-07,2.5,"3067",2,1,0,181,76.77,1890,"Yarra City Council",-37.8041,144.9953,"Northern Metropolitan",4019,941000
"12","Abbotsford",3,"h","S",2016-05-07,2.5,"3067",4,2,0,245,210,1910,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan",4019,1876000
"15","Abbotsford",2,"h","S",2016-10-08,2.5,"3067",2,1,2,256,107,1890,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan",4019,1636000
"16","Abbotsford",3,"h","S",2016-10-08,2.5,"3067",3,1,2,263,133,2014,"Yarra City Council",-37.7307,144.92717,"Northern Metropolitan",4019,1000000
"17","Abbotsford",2,"t","S",2016-10-08,2.5,"3067",2,1,1,321,81,1960,"Yarra City Council",-37.8355,145.0589,"Northern Metropolitan",4019,745000
"18","Abbotsford",1,"u","S",2016-10-08,2.5,"3067",1,1,1,0,50,2005,"Yarra City Council",-37.8008,144.9973,"Northern Metropolitan",4019,300000
"19","Abbotsford",2,"h","S",2016-10-08,2.5,"3067",3,1,2,220,75,1900,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan",4019,1097000
"20","Abbotsford",2,"u","S",2016-10-08,2.5,"3067",2,1,1,321,81,1980,"Yarra City Council",-37.81599,145.20427,"Northern Metropolitan",4019,542000
"22","Abbotsford",2,"u","SP",2016-12-10,2.5,"3067",2,1,1,321,81,1955,"Yarra City Council",-37.7442,144.9958,"Northern Metropolitan",4019,760000
"23","Abbotsford",1,"u","SP",2016-12-10,2.5,"3067",4,2,2,319,133,2015,"Yarra City Council",-37.57314,144.91694,"Northern Metropolitan",4019,481000
"24","Abbotsford",2,"u","VB",2016-11-12,2.5,"3067",2,2,1,0,65,2000,"Yarra City Council",-37.811,145.0067,"Northern Metropolitan",4019,700000
"25","Abbotsford",3,"h","VB",2016-11-12,2.5,"3067",3,2,2,214,190,2005,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan",4019,1350000
"26","Abbotsford",2,"u","S",2016-11-12,2.5,"3067",2,2,1,0,94,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,750000
"27","Abbotsford",4,"h","S",2016-11-12,2.5,"3067",4,2,3,696,240,1920,"Yarra City Council",-37.8084,144.9942,"Northern Metropolitan",4019,1985000
"28","Abbotsford",1,"u","S",2016-11-12,2.5,"3067",4,2,2,319,133,2015,"Yarra City Council",-37.57314,144.9187,"Northern Metropolitan",4019,500000
"29","Abbotsford",2,"h","S",2016-08-13,2.5,"3067",2,1,1,195,80,1960,"Yarra City Council",-37.8084,144.9973,"Northern Metropolitan",4019,1172500
"30","Abbotsford",1,"u","SP",2016-05-14,2.5,"3067",1,1,1,0,50,2005,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,441000
"31","Abbotsford",2,"h","S",2016-10-15,2.5,"3067",2,1,2,238,97,1890,"Yarra City Council",-37.809,144.9976,"Northern Metropolitan",4019,1310000
"33","Abbotsford",3,"h","S",2016-07-16,2.5,"3067",3,2,1,113,110,1880,"Yarra City Council",-37.8056,144.993,"Northern Metropolitan",4019,1200000
"34","Abbotsford",2,"t","S",2016-07-16,2.5,"3067",2,1,1,321,81,1960,"Yarra City Council",-37.8355,145.0589,"Northern Metropolitan",4019,847000
"36","Abbotsford",3,"h","S",2016-07-16,2.5,"3067",2,1,1,138,105,1890,"Yarra City Council",-37.8021,144.9965,"Northern Metropolitan",4019,1176500
"37","Abbotsford",3,"h","S",2016-09-17,2.5,"3067",3,1,0,183,114,1954,"Yarra City Council",-37.8022,144.9975,"Northern Metropolitan",4019,955000
"38","Abbotsford",2,"h","S",2016-09-17,2.5,"3067",2,1,1,150,73,1985,"Yarra City Council",-37.8011,145.0004,"Northern Metropolitan",4019,890000
"39","Abbotsford",4,"h","PI",2017-03-18,2.5,"3067",4,2,2,780,135,1900,"Yarra City Council",-37.8073,144.9952,"Northern Metropolitan",4019,1330000
"41","Abbotsford",3,"t","S",2017-03-18,2.5,"3067",3,2,2,0,151,2010,"Yarra City Council",-37.8093,144.9959,"Northern Metropolitan",4019,900000
"42","Abbotsford",3,"u","S",2017-03-18,2.5,"3067",3,2,2,4290,27,1990,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,1090000
"43","Abbotsford",2,"u","S",2016-06-18,2.5,"3067",2,1,1,0,60,1970,"Yarra City Council",-37.8015,144.9972,"Northern Metropolitan",4019,500000
"44","Abbotsford",2,"h","PI",2016-06-18,2.5,"3067",2,2,1,124,135,2013,"Yarra City Council",-37.8079,144.9977,"Northern Metropolitan",4019,1100000
"45","Abbotsford",2,"h","S",2016-11-19,2.5,"3067",2,1,0,147,85,1900,"Yarra City Council",-37.808,144.994,"Northern Metropolitan",4019,1315000
"46","Abbotsford",1,"u","S",2016-11-19,2.5,"3067",4,2,2,319,133,2015,"Yarra City Council",-37.57314,144.91694,"Northern Metropolitan",4019,480000
"47","Abbotsford",1,"u","S",2016-05-22,2.5,"3067",4,2,2,319,133,2015,"Yarra City Council",-37.57314,144.91694,"Northern Metropolitan",4019,423500
"49","Abbotsford",1,"u","SP",2016-08-22,2.5,"3067",1,1,1,0,50,2005,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,426000
"50","Abbotsford",3,"h","PI",2016-08-22,2.5,"3067",3,3,1,166,174,2012,"Yarra City Council",-37.8017,145.0001,"Northern Metropolitan",4019,1447500
"51","Abbotsford",1,"u","S",2016-08-22,2.5,"3067",1,1,1,0,50,2005,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,457000
"52","Abbotsford",2,"h","S",2016-08-22,2.5,"3067",2,2,2,98,128,1920,"Yarra City Council",-37.8005,144.9952,"Northern Metropolitan",4019,1135000
"53","Abbotsford",2,"h","S",2016-04-23,2.5,"3067",2,1,1,321,81,1980,"Yarra City Council",-37.7564,144.9059,"Northern Metropolitan",4019,700000
"54","Abbotsford",4,"h","S",2016-09-24,2.5,"3067",4,3,1,0,176,1912,"Yarra City Council",-37.7994,144.9965,"Northern Metropolitan",4019,1542000
"55","Abbotsford",3,"t","SP",2017-02-25,2.5,"3067",3,1,2,318,102,1950,"Yarra City Council",-37.7972,144.9969,"Northern Metropolitan",4019,962000
"56","Abbotsford",3,"h","S",2017-02-25,2.5,"3067",3,2,2,147,18,1997,"Yarra City Council",-37.805,144.9943,"Northern Metropolitan",4019,1290000
"57","Abbotsford",3,"h","S",2017-02-25,2.5,"3067",3,1,1,168,124,1950,"Yarra City Council",-37.8007,144.9958,"Northern Metropolitan",4019,1290000
"58","Abbotsford",1,"u","S",2016-07-26,2.5,"3067",1,1,1,0,50,2013,"Yarra City Council",-37.8055,144.9961,"Northern Metropolitan",4019,470000
"59","Abbotsford",2,"h","S",2016-11-27,2.5,"3067",2,1,0,162,91,1900,"Yarra City Council",-37.8016,144.9956,"Northern Metropolitan",4019,1180000
"60","Abbotsford",3,"h","SP",2016-11-27,2.5,"3067",3,2,1,120,128,1998,"Yarra City Council",-37.8022,144.9954,"Northern Metropolitan",4019,1195000
"62","Abbotsford",2,"h","S",2016-05-28,2.5,"3067",2,1,0,182,82,1900,"Yarra City Council",-37.8021,144.9976,"Northern Metropolitan",4019,1012500
"63","Abbotsford",2,"u","SP",2016-05-28,2.5,"3067",2,1,1,321,81,1960,"Yarra City Council",-37.8355,145.0589,"Northern Metropolitan",4019,970000
"64","Abbotsford",2,"h","S",2016-07-30,2.5,"3067",2,1,1,172,81,1930,"Yarra City Council",-37.8086,144.9946,"Northern Metropolitan",4019,1030000
"66","Abbotsford",3,"h","S",2016-07-30,2.5,"3067",3,1,2,263,133,2014,"Yarra City Council",-37.80594,145.0451,"Northern Metropolitan",4019,927000
"67","Airport West",3,"t","PI",2016-09-03,13.5,"3042",3,2,1,303,225,2016,"Moonee Valley City Council",-37.718,144.878,"Western Metropolitan",3464,840000
"68","Airport West",3,"h","VB",2016-12-03,13.5,"3042",3,2,1,0,145,1965,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan",3464,730000
